#,Priority,Batch,Name,Title,Company,Domain,LinkedIn,Email,Confidence,Motivation,Micro-Message,Has Message
1,P1,B1,Zachariah Reitano,Co-Founder & CEO,Ro,buyslimmeds.com,$23K,@zreitano,H,Ro is #1 telehealth for GLP-1/weight-loss meds — 'buyslimmeds.com' is DTC traffic magnet for their fastest-growing category.,"Ro Body is scaling GLP-1 weight loss faster than anyone — and ""buy slim meds"" is what your future patients type into Google every day. The premium domain buyslimmeds.com captures that exact search intent. Should I send it over?",existing
2,P1,B1,Andrew Dudum,Founder & CEO,Hims & Hers Health,bestslimmeds.com,$20K,@AndrewDudum,H,Hims & Hers just launched compounded GLP-1s; 'bestslimmeds' positions them at top of search intent for weight-loss vertical.,"Hims & Hers weight loss is now your fastest-growing vertical, and ""best"" is the word that separates premium from commodity in a crowded GLP-1 market. The premium domain bestslimmeds.com immediately came to mind. Interested?",existing
3,P1,B1,Feras Antoon,Co-Founder & ex-CEO,Aylo (fka MindGeek),TopSex.ai,$45K,(no public handle),M,Owns Pornhub/Aylo — 'TopSex.ai' fuses category leadership with AI wave; category-defining generic for next-gen platform.,"Aylo's network reaches 130M daily users — and AI-powered personalization is where the next billion in adult revenue comes from. The premium domain TopSex.ai — six letters, the category crown — came to mind. Should I send the dossier?",existing
4,P1,B1,Sami Inkinen,Co-Founder & CEO,Virta Health,curebyketo.com,$15K,@samiinkinen,H,Virta's entire thesis is keto-based diabetes reversal — 'curebyketo.com' is literally their mission statement as a URL.,Virta Health has the clinical data showing keto reverses type 2 diabetes — and $250M raised to prove it. The premium domain curebyketo.com captures that exact mission in a URL. Worth sending a few details?,existing
5,P1,B1,Federico Ast,Founder & CEO,Kleros,pruebadehumanidad.com,$10K,@federicoast,H,Kleros builds decentralized justice/proof-of-humanity — 'pruebadehumanidad' is the exact Spanish keyword for LATAM expansion.,"Proof of Humanity IS your product — and ""prueba de humanidad"" is exactly what it's called in Spanish, the language of your home country. The premium domain pruebadehumanidad.com IS your product name in the language of 500M people. Worth a look?",existing
6,P1,B1,Olivier Pomel,Co-Founder & CEO,Datadog,NoFail.ai,$10K,@oliveur,H,Datadog's whole product = preventing outages. 'NoFail.ai' is a bumper-sticker for reliability + AI observability.,"Datadog monitors millions of services so they don't fail — ""No Fail"" is literally the promise your platform delivers every second. The premium domain NoFail.ai captures that exact reliability promise as a brand. Worth sending a few details?",existing
7,P2,B1,Zachariah Reitano (secondary Ro),Co-Founder & CEO,Ro,cheapslimmeds.com,—,@zreitano,H,Secondary bundle opportunity for Ro beyond primary P1 offer.,"Ro's compounding pharmacy model is built on making GLP-1s affordable — and ""cheap"" is the highest-converting word in weight loss search. The premium domain cheapslimmeds.com is the companion to buyslimmeds.com. Interested in the complete Meds family?",existing
8,P2,B1,Adam & Eve (PHE) - press/exec office,Exec Team (CEO not public),Adam & Eve (PHE Inc.),AIsexshops.com,—,(no handle),L,Largest US adult retail brand. FLAGGED: exec name unverified — use company PR channel.,Adam & Eve is the largest adult retailer — AI commerce reshapes the industry. The premium domain AIsexshops.com — the category name for AI + adult retail — came to mind. Worth a look?,new
9,P2,B1,Alex Blania,"Co-Founder & CEO, Tools for Humanity",World (Worldcoin),pruebadehumanidad.com,—,@alexblania,H,World's core product = proof of personhood. 'pruebadehumanidad' is literal Spanish translation for LATAM rollout.,"World verifies millions — ""prueba de humanidad"" is your mission in Spanish, your largest market's language. The premium domain pruebadehumanidad.com is the LATAM trust signal. Worth a conversation?",new
10,P2,B1,Maya Krampf,Founder & CEO,Wholesome Yum,tipsketo.com,—,(no active handle),H,Wholesome Yum is largest keto recipe brand — natural buyer for keto/low-carb SEO domains.,"Wholesome Yum is the web's largest keto recipe destination, and ""keto tips"" is one of the highest-volume search categories in nutrition. The premium domain tipsketo.com is the brand for that exact content vertical. Interested?",existing
