Domain,Value Range,Primary Query,Secondary Query,Market
TopSex.ai,$15K–$50K,"""AI adult entertainment"" OR ""NSFW AI platform launch""","""AI companion app funding"" OR ""adult content AI startup""",US/Global
TopSex.ai-health,$25K–$35K,"""AI sex therapy"" OR ""sexual health AI startup""","""digital sexual wellness funding"" OR ""AI intimacy coach launch""",US/Health
WhoreHouse.ai,$8K–$25K,"""adult entertainment rebrand"" OR ""premium adult content AI""","""adult studio acquisition"" OR ""NSFW AI content platform""",US/Global
AIsexshops.com,$2K–$8K,"""AI sex toy launch"" OR ""adult retail AI""","""teledildonics funding"" OR ""smart adult products startup""",US/Global
PutaSexo.com,$5K–$18K,"""contenido adulto español IA"" OR ""startup contenido adulto LATAM""","""plataforma adulta española financiación"" OR ""sitio adulto hispano adquisición""",ES/LATAM
Puticlub.ai,$5K–$15K,"""startup adulto España"" OR ""club adulto online IA""","""contenido adulto español inteligencia artificial"" OR ""marca adulta .ai adquisición""",ES
Puticlub.online,$1K–$3K,"""club online España adulto"" OR ""directorio adulto online""","""comunidad adulta española"" OR ""plataforma adulta España""",ES
Putero.ai,$3K–$12K,"""marca adulta español IA"" OR ""startup contenido adulto IA""","""plataforma adulta .ai España"" OR ""IA entretenimiento adulto""",ES
Putero.online,$1K–$3K,"""directorio adulto España online"" OR ""comunidad adulto hispana""","""sitio adulto español nuevo"" OR ""plataforma adulta online España""",ES
Burdel.ai,$5K–$18K,"""startup adulto español IA"" OR ""marca adulta premium .ai""","""plataforma contenido adulto IA LATAM"" OR ""adulto hispano inteligencia artificial""",ES
gosexai.com,$1K–$5K,"""AI adult platform launch"" OR ""sex AI startup funding""","""NSFW chatbot funding"" OR ""adult AI companion raises""",US/Global
buyslimmeds.com,$8K–$25K,"""compounded GLP-1 launch"" OR ""weight loss medication DTC""","""semaglutide startup funding"" OR ""telehealth weight loss raises""",US
bestslimmeds.com,$8K–$22K,"""best GLP-1 provider launch"" OR ""weight loss medication review site""","""online weight loss prescription funding"" OR ""DTC health platform acquires""",US
cheapslimmeds.com,$5K–$18K,"""affordable GLP-1 provider"" OR ""cheap semaglutide online launch""","""compounded tirzepatide discount"" OR ""budget weight loss medication startup""",US
amoketo.com,$5K–$15K,"""keto subscription launch"" OR ""keto meal delivery funding""","""keto brand acquisition"" OR ""ketogenic diet startup raises""",US
curebyketo.com,$5K–$15K,"""medical keto therapy funding"" OR ""ketogenic treatment startup""","""therapeutic keto platform launch"" OR ""keto health raises""",US
tipsketo.com,$5K–$14K,"""keto coaching platform launch"" OR ""keto tips app funding""","""keto community startup"" OR ""ketogenic lifestyle brand acquires""",US
bajapanza.com,$5K–$16K,"""pérdida de peso startup LATAM"" OR ""adelgazar app financiación""","""salud metabólica español lanzamiento"" OR ""dieta hispana plataforma""",ES/LATAM
adelgazacomiendograsa.com,$1K–$5K,"""dieta keto español lanzamiento"" OR ""adelgazar comiendo grasa marca""","""keto hispano startup"" OR ""dieta cetogénica español plataforma""",ES
LaVoiture.ai,$15K–$45K,"""startup automobile IA France"" OR ""French automotive AI funding""","""voiture autonome IA lancement"" OR ""mobilité intelligence artificielle France""",FR/EU
automoviles.ai,$5K–$20K,"""plataforma autos LATAM IA"" OR ""startup automotriz español IA""","""mercado autos online inteligencia artificial"" OR ""automóviles IA financiación""",ES/LATAM
automovil.ai,$3K–$15K,"""coche inteligente español startup"" OR ""auto IA LATAM lanzamiento""","""vehículo autónomo español financiación"" OR ""startup automotriz IA México""",ES/LATAM
