domain,status,portfolio_group,language_market,est_value_low_usd,est_value_high_usd,defensible_value_note,brandability_1_10,sale_potential,buyer_categories_top3,top_buyers_with_dmps,sample_micro_message,notes
coldbeerportfolio,PRIORITY,Beer Bundle,EN,,,"$350,000 (PORTFOLIO BUNDLE anchor — multiple beer domains, 60-day exclusive)",,,,,"AB InBev sells cold beer everywhere — the portfolio owns the phrases consumers say: chela fría, birra fría, uma gelada. The premium domains name the category in six markets. Worth a conversation?",
vivamucho.com,PRIORITY,Spanish/LatAm,EN,,,"$179,991 (central (recommended))",,,"Spanish-language longevity/wellness clinics & doctors; health/fitness content creators (Dr. Carlos Jaramillo, Dr. Bayter, Patry Jordan); premium wellness travel/lifestyle brands",Airbnb (DMPS 92); Expedia Group (DMPS 90); Booking.com (DMPS 88),Llevas 30 años enseñando a vivir más y mejor — tu marca personal es ese mensaje. El dominio premium VivaMucho.com lo resume en dos palabras. ¿Tiene sentido para tu próximo portal?,
vivemucho.com,PRIORITY,Spanish/LatAm,ES,500,2000,"$179,991 (central (recommended))",4,Low,FitOn; 8fit; Freeletics,FitOn (DMPS 82); 8fit (DMPS 80); Freeletics (DMPS 78),Llevas 30 años enseñando a vivir más y mejor — tu marca personal es ese mensaje. El dominio premium ViveMucho.com lo resume en dos palabras. ¿Tiene sentido para tu próximo portal?,
lavoiture.ai,PRIORITY,Core,FR,15000,45000,"$40,000 (asking anchor $35,000-$45,000)",9,LAUNCHED,"Automotive (France/Europe): EV manufacturing, autonomous driving, AI mobility, fleet management, battery/charging infrastructure (leads §2 Industry Targets)",Lion Electric (DMPS 94) — Marc Bédard (CEO & Founder); Stellantis (DMPS 92); Renault Group (DMPS 91),"Flott construit l'OS IA de la gestion de flotte — « la voiture » est votre catégorie. Le domaine premium LaVoiture.ai le dit en deux mots, dans la langue de votre marché. Intéressé ?","5 CEO changes caught 2026-09-04: Stellantis=Filosa, Renault=Provost, ACC=Swan, Verkor=Debrue, Einride=Charli. FR-first market; Quebec expansion rounds 1-2 complete (MTL-10 file 2026-09-05)."
payauto.ai,PRIORITY,Automotive,EN,5000,15000,"$40,000 (asking anchor $35,000-$45,000)",8,HIGH,"Live **Agentic Commerce Suite** (""enable program; **Visa Intelligent Commerce**; Shipped **Agent Pay** for AI agents",Stripe (DMPS 96) — Patrick Collison; Visa (DMPS 94) — Ryan McInerney; Mastercard (DMPS 93) — Michael Miebach,"Agentin automates quote-to-cash — orders to invoicing to payments — which is exactly what PayAuto.ai says: payments, automatically. The premium domain names your product loop in two words. Curious?",Pilot weakest yield (1 NEW) - already saturated.
knowlaw.ai,PRIORITY,Core,ES,15000,40000,"$35,000 (asking anchor $30,000-$40,000)",9,LAUNCHED,THE defining AI legal startup; Leading contract lifecycle management; Acquired by Thomson Reuters for $650M (2023),Harvey AI (DMPS 96) — Winston Weinberg (CEO & Co-Founder); Ironclad (DMPS 90) — Cai GoGwilt (Co-Founder & Chief Architect); Casetext (Thomson Reuters) (DMPS 89) — Jake Heller (CEO & Co-Founder),Harvey is the defining AI legal brand — KnowLaw.ai is the category claim that names the whole space. The premium domain is the two-word upgrade on your current name. Worth a conversation?,Pilot strongest yield (7 NEW). Exec: Lan Francis co-founder (verify title before use).
topsex.ai,PRIORITY,Adult,EN,1000,5000,"$32,500 (asking anchor $30,000-$35,000)",5,Low,Adult industry leaders (Aylo/Pornhub/Brazzers); AI-powered sex-therapy & intimacy platforms (Blueheart); premium adult studio brands (Vixen),Aylo (MindGeek) (DMPS 95); Blueheart (DMPS 92) — Dr. Sachin Raoul (CEO & Co-Founder); Vixen Media Group (DMPS 92) — Greg Lansky (CEO & Founder),"Aylo's AI content moderation is building the premium tier of adult content — the name that claims ""best"" is TopSex.ai. Six characters, exact-match, category-leading. Worth a conversation?","Blueheart/Dr. Sachin Raoul alt lead (health/ed) DMPS 92, $25-35K ask."
autopaga.com,PRIORITY,Real Estate/Mortgage,ES,1000,5000,"$30,000 (asking anchor $25,000-$35,000)",6,Medium,LATAM payments leader (300M+ users); Mexico's leading SMB payments platform; LATAM payment infrastructure (Ecuador/Mexico/Per,Mercado Pago (DMPS 96) — Marcos Galperin; Clip (DMPS 93) — Adolfo Babatz; Kushki (DMPS 91) — Aron Schwarzkopf,"Mercado Pago lidera los pagos en LATAM y su asistente de IA, Meli, ya vive en el ecosistema. El dominio premium autopaga.com dice literalmente ""paga automáticamente"" — el nombre de la categoría en español. ¿Te interesa?",
payquick.ai,PRIORITY,Payments/Fintech,EN,3000,8000,"$26,000 (asking anchor $24,000-$28,000)",7,High,Created Stripe Checkout; Shopify Payments + Shop Pay (one-click checkout); Raised **$30M Series A (Forerunner)** to reinven,"Stripe (DMPS 95); Shopify Payments (DMPS 93); Natural (DMPS 92) — Kahlil Lalji (CEO & Co-founder), Eric Wang, Walt Leung","Natural's $30M Series A is built on a simple promise: payments for AI agents, done naturally. The premium domain PayQuick.ai names that promise in two words — pay, quick, by agents. Would it fit?",
nofail.ai,PRIORITY,AI/SaaS,EN,5000,15000,"$25,000 (asking anchor $22,000-$28,000)",9,HIGH,Dominant observability platform ($30B+ market ca; Incident response leader; Modern incident management,Datadog (DMPS 94) — Olivier Pomel (CEO & Co-Founder); PagerDuty (DMPS 92); incident.io (DMPS 90) — Lawrence Jones (CEO & Co-Founder),Confident AI's governance launch gives enterprises one bar for AI quality — nofail.ai is that same promise as a name: agents that don't fail. The premium domain is the two-word version of your mission. Interested?,Pilot yield 6 NEW. PagerDuty exec = John DiLullo (NOT Tejada - stale-row fix applied 2026-09-05).
paybet.ai,PRIORITY,Betting/Gambling,EN,4000,10000,"$25,000 (asking anchor $22,000-$28,000)",7,High,#1 US sports betting platform ($20B+); #2 US sportsbook; JV between MGM + Entain,DraftKings (DMPS 95) — Jason Robins (CEO & Co-Founder); FanDuel (Flutter) (DMPS 93); BetMGM (DMPS 90),DraftKings is the betting leader — paybet.ai is the AI-payment betting brand for the next era. The premium domain says pay + bet in one word. Worth a conversation?,
rushify.ai,PRIORITY,Field Service/Logistics,EN,4000,10000,"$25,000 (asking anchor $22,000-$28,000)",8,HIGH,Dominant US food delivery ($30B+); Global mobility + delivery ($120B+); Instant delivery of convenience goods,DoorDash (DMPS 95) — Tony Xu (CEO & Co-Founder); Uber (DMPS 93); Gopuff (DMPS 90) — Rafael Ilishayev (CEO & Co-Founder),DoorDash mastered delivery speed — rushify.ai is the brand for AI-accelerated rush delivery. The premium domain names the speed your network already has. Open to a chat?,
topproducts.ai,PRIORITY,AI/SaaS,EN,5000,12000,"$25,000 (asking anchor $22,000-$28,000)",8,HIGH,"Dominant B2B software review platform; Everything store; The largest AI tool directory. 15,000+ AI tools",G2 (DMPS 95) — Godard Abel (CEO & Co-Founder); Amazon (DMPS 92); There's an AI for That (DMPS 92) — (Founder — needs verification),"G2 ranks the best products — topproducts.ai is the exact-match name for AI-era rankings. The premium domain claims the ""top products"" phrase. Worth a conversation?",
buyslimmeds.com,PRIORITY,Weight Loss,EN,5000,10000,"$22,500 (asking anchor $20,000-$25,000)",8,HIGH,DTC health leader; Public company ($4B+); Pivoted to clinical weight loss with Noom Med an,Ro (DMPS 96) — Zachariah Reitano (CEO & Co-Founder); Hims & Hers (DMPS 94) — Andrew Dudum (CEO & Co-Founder); Noom (DMPS 90),"Ro Body's GLP-1 line is exactly ""buy slim meds"" — buyslimmeds.com names the offer as a domain. The premium domain is the direct-match brand for your weight loss vertical. Worth a conversation?",
paycar.ai,PRIORITY,Automotive,EN,4000,10000,"$22,500 (asking anchor $20,000-$25,000)",8,High,Largest used car retailer; Fully digital car buying; Would use as vertical product brand for automoti,CarMax (DMPS 93); Carvana (DMPS 91) — Ernie Garcia (CEO & Co-Founder); Stripe (DMPS 88),CarMax sells cars online at scale — paycar.ai is the AI financing brand for auto payments. The premium domain names the transaction in two words. Open to a chat?,
paydeal.ai,PRIORITY,Payments/Fintech,EN,3000,8000,"$22,500 (asking anchor $20,000-$25,000)",7,High,Leading BNPL; Global BNPL leader; BNPL pioneer,Affirm (DMPS 95) — Max Levchin (CEO & Co-Founder); Klarna (DMPS 93); Afterpay (Block) (DMPS 90) — Nick Molnar (CEO & Co-Founder),Affirm built pay-over-time — paydeal.ai is the AI-deal financing brand. The premium domain says the transaction in two words your users understand. Worth a look?,
whorehouse.ai,PRIORITY,Adult,EN,1000,5000,"$22,500 (asking anchor $20,000-$25,000)",5,Low,Largest adult company; Operates xvideos + xfreeporn; Operates adult studio network,Aylo (MindGeek) (DMPS 90); WGCZ (xvideos) (DMPS 88) — (Private CEO); Gamma Entertainment (DMPS 85),"Aylo's network brands are bold on purpose — WhoreHouse.ai is that kind of name: unmistakable, exact-match, memorable. The premium domain says the category in one word. Worth a conversation?",
hispanoabogado.com,PRIORITY,Core,ES,8000,25000,"$22,000 (anchor)",9,LAUNCHED,Largest personal injury firm in US; Major Hispanic-focused personal injury & immigra,Morgan & Morgan (DMPS 92) — John Morgan (Founder & CEO); elAbogado.com (DMPS 90) — Lead Gen; Aguirre Law Firm (DMPS 88) — Oscar Aguirre (Founding Partner),Morgan & Morgan already serves Hispanic clients — hispanoabogado.com is the Hispanic lawyer as a brand. The premium domain names the category your practice already serves. ¿Te interesa conversar?,Pilot weakest yield (1 NEW) - already saturated.
infancia.ai,PRIORITY,Spanish/LatAm,ES,5000,12000,"$22,000 (anchor)",8,HIGH,Language learning powerhouse ($10B+ market cap); Global edtech leader; THE Spanish-English children's learning app,Duolingo (DMPS 95) — Luis von Ahn (CEO & Co-Founder); Khan Academy (DMPS 92) — Sal Khan (CEO & Founder); Lingokids (DMPS 90) — Cristóbal Viedma (CEO & Co-Founder),Duolingo is transforming learning — infancia.ai is the AI brand for childhood education. The premium domain names the most important stage of learning. ¿Vale la pena conversar?,
bestslimmeds.com,PRIORITY,Weight Loss,EN,3000,8000,"$20,000 (asking anchor $18,000-$22,000)",7,High,Public company ($4B+); DTC health leader; Acquired Sequence for GLP-1,Hims & Hers (DMPS 96) — Andrew Dudum (CEO & Co-Founder); Ro (DMPS 94) — Zachariah Reitano (CEO & Co-Founder); WeightWatchers (WW) (DMPS 90),"Hims & Hers' fastest-growing vertical deserves the premium claim — bestslimmeds.com is that brand extension. The premium domain says ""best"" before a page loads. Worth a conversation?",
fusebot.ai,EXPANSION-READY,Automotive,EN,5000,15000,"$20,000 (asking anchor $18,000-$22,000)",9,HIGH,Market leader in no-code integration; Zapier's biggest competitor; Enterprise RPA leader ($10B+ market cap),Zapier (DMPS 95) — Wade Foster (CEO & Co-Founder); Make (formerly Integromat) (DMPS 91); UiPath (DMPS 88) — Daniel Dines (CEO & Co-Founder),Zapier automates workflows for millions — fusebot.ai is the friendly AI-bot brand for the next automation layer. The premium domain names what your bots do in one word. Worth a conversation?,"Gumloop (Max Brodeur-Urbas) top NEW lead; Voiceflow = LinkedIn-DM channel only (implied email, owner judgment pending)."
