Domain,Priority,Prospect,Company,Title,Subject Line
LaVoiture.ai,1,Carlos Tavares,Stellantis,CEO,"Une opportunité pour Stellantis : LaVoiture.ai"
LaVoiture.ai,2,Luca de Meo,Renault Group,CEO,"LaVoiture.ai — The French automotive AI domain for the Ampere era"
LaVoiture.ai,3,Mate Rimac,Bugatti Automobiles,CEO,"LaVoiture.ai — The definitive domain for Bugatti's AI future"
LaVoiture.ai,4,Benoit Lemaignan,Verkor,CEO,"The definitive French battery brand needs a definitive domain"
LaVoiture.ai,5,Yann Vincent,ACC,CEO,"A brand that matches ACC's ambition: LaVoiture.ai"
LeanMeds.com,1,Zachariah Reitano,Ro,CEO,"The name that tells the market what Ro does best"
LeanMeds.com,2,Andrew Dudum,Hims & Hers,CEO,"LeanMeds.com — The convergence of Hims efficiency and Hers trust"
LeanMeds.com,3,Geoff Cook,Noom,CEO,"For Noom Med's next chapter: LeanMeds.com"
LeanMeds.com,4,Sima Sistani,WeightWatchers,CEO,"A clinical brand for WeightWatchers' GLP-1 era"
LeanMeds.com,5,Eric Kinariwala,Capsule,CEO,"The DTC pharmacy brand Capsule deserves"
KnowLaw.ai,1,Winston Weinberg,Harvey AI,CEO,"KnowLaw.ai — The category name for the AI lawyer"
KnowLaw.ai,2,Cai GoGwilt,Ironclad,Co-Founder,"The AI product brand Ironclad needs"
KnowLaw.ai,3,Jake Heller,Casetext/Thomson Reuters,CEO,"CoCounsel needs a home: KnowLaw.ai"
KnowLaw.ai,4,Mike Walsh,LexisNexis,CEO,"The brand for LexisNexis AI"
KnowLaw.ai,5,Jack Newton,Clio,CEO,"Clio's AI brain needs a name"
HispanoAbogado.com,1,John Morgan,Morgan & Morgan,CEO,"The Spanish-language domain for America's largest PI firm"
HispanoAbogado.com,2,Oscar Aguirre,Aguirre Law Firm,Partner,"The brand that describes what you do"
HispanoAbogado.com,3,Raul Molina,Molina Law Group,Principal,"A shorter, stronger domain for Molina Law"
HispanoAbogado.com,4,Leticia Garcia,Garcia & Garcia,Partner,"Expanding Garcia & Garcia's reach"
HispanoAbogado.com,5,Tejas Shah,ImmigrationHelp.org,CEO,"A Spanish-language anchor for ImmigrationHelp"
