Domain Name,Category,Est. Low,Est. High,Brandability (1-10),Sale Potential,Top Buyer Industry,Priority
adelgazacomiendograsa.com,Spanish Health,100,500,2,Low,None,★
agisunrise.com,General,100,500,3,Low,None,★
agizent.com,General,100,500,3,Low,None,★
aiapp.bet,AI Betting,500,2000,4,Medium,iGaming,★★
aiappbet.com,AI Betting,500,2000,4,Medium,iGaming,★★
aikillswitch.org,AI Safety,1000,5000,5,Medium,AI Safety/Cybersecurity,★★★
airedbutton.com,General,100,500,2,Low,None,★
aistopbutton.com,AI Safety,1000,4000,5,Medium,AI Safety/Cybersecurity,★★★
aitopdeals.com,AI Deals,500,3000,4,Medium,E-commerce/Affiliate,★★
aitopshelf.com,AI Products,500,3000,4,Medium,E-commerce,★★
aitopshops.com,AI Shopping,500,3000,4,Medium,E-commerce,★★
aitopstuff.com,AI Products,500,2000,3,Low,E-commerce,★
aitoptravel.com,AI Travel,500,3000,4,Medium,TravelTech,★★
aitoptrips.com,AI Travel,500,3000,4,Medium,TravelTech,★★
amoketo.com,Health/Weight Loss,500,3000,5,Medium,Health/DTC,★★
amomota.com,General,100,500,3,Low,None,★
appai.bet,AI Betting,500,2000,4,Medium,iGaming,★★
appaibet.com,AI Betting,500,2000,4,Medium,iGaming,★★
apuesto.ad,Betting,100,500,3,Low,iGaming,★
apuesto.ai,Betting/AI,3000,10000,7,High,iGaming/Fintech,★★★
apuesto.casino,Betting,500,2000,4,Low,iGaming,★
apuesto.xyz,Betting,100,500,3,Low,iGaming,★
aquexa.com,Tech,500,3000,5,Medium,SaaS,★★
aseguranza.ai,Insurance/Spanish+AI,5000,15000,8,HIGH,Insurtech/Spanish Market,★★★★★
aseguranza.online,Insurance,500,2000,4,Low,Insurance,★
automoveis.ai,Auto/Portuguese+AI,8000,20000,9,HIGH,Auto/Brazil Market,★★★★★
automovel.ai,Auto/Portuguese+AI,5000,15000,8,High,Auto/Brazil,★★★★
automovil.ai,Auto/Spanish+AI,5000,15000,8,High,Auto/Spanish Market,★★★★
automoviles.ai,Auto/Spanish+AI,5000,15000,8,High,Auto/Spanish Market,★★★★
autopaga.com,Real Estate/Payments,1000,5000,6,Medium,Real Estate/Fintech,★★★
bailar.ai,Entertainment/Spanish+AI,3000,8000,7,High,Entertainment/Edtech,★★★
bajapanza.com,Health/Weight Loss,500,3000,4,Medium,Health/DTC,★★
bajaturenta.com,Real Estate,500,2000,5,Medium,Rental/Real Estate,★★
bestslimmeds.com,Health/Weight Loss,3000,8000,7,High,DTC Health/Pharma,★★★★
birrafria.com,Beer/Drinks,500,2000,4,Medium,Beverage,★★
buentino.com,General,100,500,3,Low,None,★
burdel.ai,Adult+AI,1000,5000,5,Low,Adult Entertainment,★
buyslimmeds.com,Health/Weight Loss,5000,10000,8,HIGH,DTC Health/Pharma,★★★★★
cancelarsuscripciones.com,Spanish Service,100,500,3,Low,None,★
cantar.ai,Entertainment/Spanish+AI,3000,8000,7,Medium,Entertainment/Music,★★★
carboingratos.com,Spanish Health,100,500,2,Low,None,★
cavort.ai,Entertainment+AI,2000,6000,6,Medium,Entertainment/Gaming,★★★
cdmx.bet,Betting/GEO,500,2000,3,Low,iGaming,★
cdmx.casino,Betting/GEO,500,2000,3,Low,iGaming,★
cdmx.games,Betting/GEO,500,2000,3,Low,iGaming,★
cerebrado.com,Tech,500,3000,5,Medium,SaaS,★★
cervefria.com,Beer/Drinks,500,2000,4,Medium,Beverage,★★
cervezahelada.com,Beer/Drinks,1000,3000,5,Medium,Beverage,★★
cheapslimmeds.com,Health/Weight Loss,3000,7000,7,High,DTC Health/Pharma,★★★★
chelafria.com,Beer/Drinks,500,2000,4,Medium,Beverage,★★
chevefria.com,Beer/Drinks,500,2000,4,Medium,Beverage,★★
coldbeerportfolio.com,Beer/Drinks,500,2000,4,Low,Beverage,★
comeplantas.com,Spanish Health,100,500,3,Low,None,★
comodejardebeber.com,Spanish Health,100,500,3,Low,None,★
comprarcasita.com,Real Estate,500,3000,5,Medium,Real Estate,★★
curebyketo.com,Health/Weight Loss,1000,5000,6,Medium,Health/DTC,★★★
dalai.co,Spiritual/General,500,2000,5,Low,Wellness,★★
dalai.fit,Spiritual/Fitness,500,2000,5,Low,Wellness/Fitness,★★
desmadrito.com,General,100,500,2,Low,None,★
divorcereadykit.com,Legal,2000,6000,7,Medium,Legal/Online Services,★★★
exaroi.com,General,100,500,3,Low,None,★
fieldlogbook.com,Field Service,1000,4000,6,Medium,Field Service Software,★★
fieldworkorder.com,Field Service,1000,4000,6,Medium,Field Service Software,★★
fightrenthike.com,Outdoor/Lifestyle,500,2000,4,Low,Outdoor,★★
fotobitacora.com,Field Service/Spanish,500,3000,4,Medium,Field Service/LATAM,★★
fusebot.ai,AI Automation/Robotics,5000,15000,9,HIGH,AI Automation/SaaS,★★★★★
fuxiaballerinas-qro.com,General,100,500,2,Low,None,★
ganalana.com,General,100,500,3,Low,None,★
gastropub.bet,Betting/Food,500,2000,3,Low,iGaming,★
gastropub.bid,Betting/Food,100,500,2,Low,iGaming,★
gastropub.casino,Betting/Food,500,1500,3,Low,iGaming,★
gastropub.games,Betting/Food,500,1500,3,Low,iGaming,★
halfpricednames.com,General,100,500,3,Low,None,★
haymota.com,Cannabis/Spanish,500,2000,4,Medium,Cannabis,★★
hipotecahispana.com,Real Estate/Spanish,3000,8000,7,High,Mortgage/Hispanic Market,★★★★
hispanoabogado.com,Legal/Spanish,8000,25000,9,LAUNCHED,Legal/Spanish Market,★★★★★
humanoreal.com,General,100,500,3,Low,None,★
humanoscomoservicio.com,Spanish,100,500,3,Low,None,★
iapolitica.com,Spanish/Politics,100,500,3,Low,None,★
infancia.ai,Childhood/Spanish+AI,5000,12000,8,HIGH,Edtech/Child Safety,★★★★★
juanlauro.com,General,100,500,3,Low,None,★
knowlaw.ai,Legal+AI,15000,40000,9,LAUNCHED,Legal AI,★★★★★
lahispanic.com,Hispanic Market,2000,8000,7,High,Hispanic Marketing,★★★
lahispano.net,Hispanic Market,500,2000,4,Low,Hispanic Marketing,★
lahispano.org,Hispanic Market,1000,3000,5,Medium,Hispanic Marketing,★★
latinoabogado.com,Legal/Spanish,5000,15000,8,High,Legal/Spanish Market,★★★★
latinomedico.com,Medical/Spanish,5000,15000,8,High,Medical/Hispanic Market,★★★★
lavoiture.ai,Auto/French+AI,15000,45000,9,LAUNCHED,Auto/AI,★★★★★
laxhispanic.com,Hispanic Market/LA,1000,4000,6,Medium,Hispanic Marketing/LA,★★
losangeleshispanic.com,Hispanic Market/LA,2000,6000,7,Medium,Hispanic Marketing/LA,★★★
mexicannabico.com,Cannabis/Mexico,1000,4000,5,Medium,Cannabis,★★
mexmota.com,Cannabis/Mexico,500,2000,4,Medium,Cannabis,★★
miniterapia.com,Health/Spanish,500,2000,5,Medium,Healthcare,★★
mobileworklog.com,Field Service,500,3000,5,Medium,Field Service Software,★★
muyguay.com,Spanish,500,2000,4,Low,General,★
muyloca.com,Spanish,500,2000,4,Low,General,★
muysabrosa.com,Spanish,500,2000,4,Low,General,★
mypatientprep.com,Healthcare,2000,6000,6,Medium,Healthcare SaaS,★★★
nobreak.ai,Reliability+AI,4000,10000,8,HIGH,DevOps/Infrastructure,★★★★
nobreakai.com,Reliability,500,2000,4,Low,Infrastructure,★
nofail.ai,Reliability+AI,5000,15000,9,HIGH,DevOps/Infrastructure,★★★★★
nofailai.com,Reliability,500,2000,4,Low,Infrastructure,★
